ID,Prediction,Probability
2028,AGONIST,0.5555555555555556
2029,AGONIST,0.5555555555555556
2030,AGONIST,0.6666666666666666
2031,AGONIST,0.6
2032,AGONIST,0.8888888888888888
2033,ANTAGONIST,0.3333333333333333
2034,ANTAGONIST,0.2857142857142857
2035,ANTAGONIST,0.0
2036,ANTAGONIST,0.45454545454545453
2037,ANTAGONIST,0.45454545454545453
2038,AGONIST,1.0
2040,ANTAGONIST,0.42857142857142855
2041,AGONIST,0.6666666666666666
2042,AGONIST,0.75
2043,ANTAGONIST,0.2
2044,AGONIST,1.0
2045,ANTAGONIST,0.2857142857142857
2046,ANTAGONIST,0.46153846153846156
2047,AGONIST,0.7272727272727273
2048,ANTAGONIST,0.3333333333333333
2049,AGONIST,0.5384615384615384
2050,AGONIST,0.5454545454545454
2051,ANTAGONIST,0.45454545454545453
2052,ANTAGONIST,0.21428571428571427
2053,ANTAGONIST,0.0
2054,ANTAGONIST,0.25
2055,AGONIST,0.5714285714285714
2056,ANTAGONIST,0.5
2057,ANTAGONIST,0.5
2058,ANTAGONIST,0.4444444444444444
2059,ANTAGONIST,0.5
2060,ANTAGONIST,0.42857142857142855
2061,AGONIST,0.8
2062,ANTAGONIST,0.375
2063,ANTAGONIST,0.5
2064,ANTAGONIST,0.42857142857142855
2065,ANTAGONIST,0.4444444444444444
2066,ANTAGONIST,0.25
2067,ANTAGONIST,0.4
2068,ANTAGONIST,0.42857142857142855
2069,ANTAGONIST,0.4166666666666667
2070,AGONIST,0.5833333333333334
2071,ANTAGONIST,0.2727272727272727
2072,AGONIST,0.7692307692307693
2073,AGONIST,0.625
2074,AGONIST,0.6666666666666666
2075,ANTAGONIST,0.16666666666666666
2076,ANTAGONIST,0.2857142857142857
2077,AGONIST,0.6
2078,AGONIST,0.8571428571428571
2079,ANTAGONIST,0.25
2080,ANTAGONIST,0.5
2081,ANTAGONIST,0.16666666666666666
2082,ANTAGONIST,0.25
2083,ANTAGONIST,0.5
2084,ANTAGONIST,0.4444444444444444
2085,ANTAGONIST,0.42857142857142855
2086,ANTAGONIST,0.5
2087,ANTAGONIST,0.5
2088,AGONIST,0.5263157894736842
2089,ANTAGONIST,0.4583333333333333
2090,AGONIST,0.6153846153846154
2091,AGONIST,0.5882352941176471
2092,ANTAGONIST,0.391304347826087
2093,ANTAGONIST,0.4375
2094,AGONIST,0.6111111111111112
2095,ANTAGONIST,0.4
2096,AGONIST,0.9166666666666666
2097,ANTAGONIST,0.3
2098,AGONIST,0.5789473684210527
2099,AGONIST,0.5882352941176471
2100,ANTAGONIST,0.5
2101,ANTAGONIST,0.42105263157894735
2102,ANTAGONIST,0.32
